"X","file","X2020","X2022","Total","cmd","allreads","bamreads","case","category","date","site","state","VA_reg","region","type","year"
77,"5755-20-F",0,1,1,"cp ../2022_lib/5755-20-F.fastq.gz ./",20802308,186965,"5755-20-F","paraffin","10/6/2011","VIMS Beach","VA","Bay ","Atlantic","FFPE",2011
41,"6373-8",1,1,2,"gunzip ../2022_lib/6373-8.fastq.gz ../2020_lib/6373-8.fastq.gz ; cat ../2022_lib/6373-8.fastq ../2022_lib/6373-8.fastq | gzip > 6373-8.fastq.gz",55513822,446902,"6373-8","other","8/28/2015","VIMS Beach","VA","Bay ","Atlantic","Fresh",2015
7,"6373-9",1,1,2,"gunzip ../2022_lib/6373-9.fastq.gz ../2020_lib/6373-9.fastq.gz ; cat ../2022_lib/6373-9.fastq ../2022_lib/6373-9.fastq | gzip > 6373-9.fastq.gz",26030638,239334,"6373-9","other","8/28/2015","VIMS Beach","VA","Bay ","Atlantic","Fresh",2015
64,"6595-2",1,1,2,"gunzip ../2022_lib/6595-2.fastq.gz ../2020_lib/6595-2.fastq.gz ; cat ../2022_lib/6595-2.fastq ../2022_lib/6595-2.fastq | gzip > 6595-2.fastq.gz",16632126,137782,"6595-2","other","","LSU","LA","","Gulf","Fresh",NA
35,"6595-3",1,1,2,"gunzip ../2022_lib/6595-3.fastq.gz ../2020_lib/6595-3.fastq.gz ; cat ../2022_lib/6595-3.fastq ../2022_lib/6595-3.fastq | gzip > 6595-3.fastq.gz",14658002,125194,"6595-3","other","","LSU","LA","","Gulf","Fresh",NA
18,"6595-5",1,1,2,"gunzip ../2022_lib/6595-5.fastq.gz ../2020_lib/6595-5.fastq.gz ; cat ../2022_lib/6595-5.fastq ../2022_lib/6595-5.fastq | gzip > 6595-5.fastq.gz",13342938,100922,"6595-5","other","","LSU","LA","","Gulf","Fresh",NA
11,"6595-6",1,1,2,"gunzip ../2022_lib/6595-6.fastq.gz ../2020_lib/6595-6.fastq.gz ; cat ../2022_lib/6595-6.fastq ../2022_lib/6595-6.fastq | gzip > 6595-6.fastq.gz",30161222,212698,"6595-6","other","","LSU","LA","","Gulf","Fresh",NA
84,"6810-21",1,1,2,"gunzip ../2022_lib/6810-21.fastq.gz ../2020_lib/6810-21.fastq.gz ; cat ../2022_lib/6810-21.fastq ../2022_lib/6810-21.fastq | gzip > 6810-21.fastq.gz",24952836,184016,"6810-21","other","8/2/2017","VIMS Beach","VA","Bay ","Atlantic","Fresh",2017
78,"6837-1",1,1,2,"gunzip ../2022_lib/6837-1.fastq.gz ../2020_lib/6837-1.fastq.gz ; cat ../2022_lib/6837-1.fastq ../2022_lib/6837-1.fastq | gzip > 6837-1.fastq.gz",36037416,532754,"6837-1","other","8/31/2017","VIMS Beach","VA","Bay ","Atlantic","Fresh",2017
34,"6837-16",1,1,2,"gunzip ../2022_lib/6837-16.fastq.gz ../2020_lib/6837-16.fastq.gz ; cat ../2022_lib/6837-16.fastq ../2022_lib/6837-16.fastq | gzip > 6837-16.fastq.gz",44166356,1008902,"6837-16","other","8/31/2017","VIMS Beach","VA","Bay ","Atlantic","Fresh",2017
66,"6837-23",1,1,2,"gunzip ../2022_lib/6837-23.fastq.gz ../2020_lib/6837-23.fastq.gz ; cat ../2022_lib/6837-23.fastq ../2022_lib/6837-23.fastq | gzip > 6837-23.fastq.gz",54441324,523112,"6837-23","other","8/31/2017","VIMS Beach","VA","Bay ","Atlantic","Fresh",2017
81,"6895-20",1,1,2,"gunzip ../2022_lib/6895-20.fastq.gz ../2020_lib/6895-20.fastq.gz ; cat ../2022_lib/6895-20.fastq ../2022_lib/6895-20.fastq | gzip > 6895-20.fastq.gz",44548366,432102,"6895-20","other","10/17/2017","VIMS Beach","VA","Bay ","Atlantic","Fresh",2017
87,"6916-13",1,1,2,"gunzip ../2022_lib/6916-13.fastq.gz ../2020_lib/6916-13.fastq.gz ; cat ../2022_lib/6916-13.fastq ../2022_lib/6916-13.fastq | gzip > 6916-13.fastq.gz",13788926,109502,"6916-13","other","11/13/2017","VIMS Beach","VA","Bay ","Atlantic","Fresh",2017
74,"6916-24",1,1,2,"gunzip ../2022_lib/6916-24.fastq.gz ../2020_lib/6916-24.fastq.gz ; cat ../2022_lib/6916-24.fastq ../2022_lib/6916-24.fastq | gzip > 6916-24.fastq.gz",44471310,322520,"6916-24","other","11/13/2017","VIMS Beach","VA","Bay ","Atlantic","Fresh",2017
82,"6916-7",1,1,2,"gunzip ../2022_lib/6916-7.fastq.gz ../2020_lib/6916-7.fastq.gz ; cat ../2022_lib/6916-7.fastq ../2022_lib/6916-7.fastq | gzip > 6916-7.fastq.gz",49325302,585548,"6916-7","other","11/13/2017","VIMS Beach","VA","Bay ","Atlantic","Fresh",2017
89,"6946-A",1,1,2,"gunzip ../2022_lib/6946-A.fastq.gz ../2020_lib/6946-A.fastq.gz ; cat ../2022_lib/6946-A.fastq ../2022_lib/6946-A.fastq | gzip > 6946-A.fastq.gz",15595386,132476,"6946-A","other","3/27/2018","Caminada Bay","LA","","Gulf","Fresh",2018
14,"6946-B",1,1,2,"gunzip ../2022_lib/6946-B.fastq.gz ../2020_lib/6946-B.fastq.gz ; cat ../2022_lib/6946-B.fastq ../2022_lib/6946-B.fastq | gzip > 6946-B.fastq.gz",34084440,262316,"6946-B","other","3/27/2018","Caminada Bay","LA","","Gulf","Fresh",2018
79,"6946-C",1,1,2,"gunzip ../2022_lib/6946-C.fastq.gz ../2020_lib/6946-C.fastq.gz ; cat ../2022_lib/6946-C.fastq ../2022_lib/6946-C.fastq | gzip > 6946-C.fastq.gz",13805894,123508,"6946-C","other","3/27/2018","Caminada Bay","LA","","Gulf","Fresh",2018
51,"6946-D",1,1,2,"gunzip ../2022_lib/6946-D.fastq.gz ../2020_lib/6946-D.fastq.gz ; cat ../2022_lib/6946-D.fastq ../2022_lib/6946-D.fastq | gzip > 6946-D.fastq.gz",46325464,347056,"6946-D","other","3/27/2018","Caminada Bay","LA","","Gulf","Fresh",2018
94,"6946-F",1,1,2,"gunzip ../2022_lib/6946-F.fastq.gz ../2020_lib/6946-F.fastq.gz ; cat ../2022_lib/6946-F.fastq ../2022_lib/6946-F.fastq | gzip > 6946-F.fastq.gz",39730006,319296,"6946-F","paraffin","3/27/2018","Caminada Bay","LA","","Gulf","Fresh",2018
57,"7040-2",1,1,2,"gunzip ../2022_lib/7040-2.fastq.gz ../2020_lib/7040-2.fastq.gz ; cat ../2022_lib/7040-2.fastq ../2022_lib/7040-2.fastq | gzip > 7040-2.fastq.gz",36052300,292082,"7040-2","other","7/10/2018","Auburn University","AL","","Gulf","Fresh",2018
65,"7040-3",1,1,2,"gunzip ../2022_lib/7040-3.fastq.gz ../2020_lib/7040-3.fastq.gz ; cat ../2022_lib/7040-3.fastq ../2022_lib/7040-3.fastq | gzip > 7040-3.fastq.gz",52055942,398280,"7040-3","other","7/10/2018","Auburn University","AL","","Gulf","Fresh",2018
